,model,category,language,frame_type,instance,prompt,total_logprob,avg_logprob
80,google/gemma-3-12b-it,animal,en,generic,donkey,One example of a animal is ___.,-20.25,-20.25
81,google/gemma-3-12b-it,animal,en,generic,duckling,One example of a animal is ___.,-24.875,-12.4375
82,google/gemma-3-12b-it,animal,en,generic,earwig,One example of a animal is ___.,-26.78125,-13.390625
83,google/gemma-3-12b-it,animal,en,generic,eel,One example of a animal is ___.,-20.875,-20.875
84,google/gemma-3-12b-it,animal,en,generic,elephant,One example of a animal is ___.,-14.5625,-14.5625
85,google/gemma-3-12b-it,animal,en,generic,ferret,One example of a animal is ___.,-21.125,-21.125
86,google/gemma-3-12b-it,animal,en,generic,fish,One example of a animal is ___.,-12.125,-12.125
87,google/gemma-3-12b-it,animal,en,generic,fly,One example of a animal is ___.,-21.0,-21.0
88,google/gemma-3-12b-it,animal,en,generic,fox,One example of a animal is ___.,-16.75,-16.75
89,google/gemma-3-12b-it,animal,en,generic,gazelle,One example of a animal is ___.,-21.4609375,-10.73046875
90,google/gemma-3-12b-it,animal,en,generic,giraffe,One example of a animal is ___.,-17.375,-17.375
91,google/gemma-3-12b-it,animal,en,generic,goat,One example of a animal is ___.,-19.5,-19.5
92,google/gemma-3-12b-it,animal,en,generic,goldfish,One example of a animal is ___.,-15.9375,-15.9375
93,google/gemma-3-12b-it,animal,en,generic,goose,One example of a animal is ___.,-21.375,-21.375
94,google/gemma-3-12b-it,animal,en,generic,gopher,One example of a animal is ___.,-19.71875,-9.859375
95,google/gemma-3-12b-it,animal,en,generic,gorilla,One example of a animal is ___.,-20.75,-20.75
96,google/gemma-3-12b-it,animal,en,generic,groundhog,One example of a animal is ___.,-18.8154296875,-9.40771484375
97,google/gemma-3-12b-it,animal,en,generic,guinea pig,One example of a animal is ___.,-18.901611328125,-9.4508056640625
98,google/gemma-3-12b-it,animal,en,generic,hamster,One example of a animal is ___.,-19.125,-19.125
99,google/gemma-3-12b-it,animal,en,generic,hedgehog,One example of a animal is ___.,-22.125,-22.125
100,google/gemma-3-12b-it,animal,en,generic,hippopotamus,One example of a animal is ___.,-17.898712158203125,-5.966237386067708
101,google/gemma-3-12b-it,animal,en,generic,horse,One example of a animal is ___.,-17.875,-17.875
102,google/gemma-3-12b-it,animal,en,generic,hyena,One example of a animal is ___.,-18.5111083984375,-9.25555419921875
103,google/gemma-3-12b-it,animal,en,generic,jellyfish,One example of a animal is ___.,-18.875,-18.875
104,google/gemma-3-12b-it,animal,en,generic,kangaroo,One example of a animal is ___.,-17.875,-17.875
105,google/gemma-3-12b-it,animal,en,generic,kitten,One example of a animal is ___.,-20.25,-20.25
106,google/gemma-3-12b-it,animal,en,generic,koala,One example of a animal is ___.,-13.69921875,-6.849609375
107,google/gemma-3-12b-it,animal,en,generic,lamb,One example of a animal is ___.,-20.875,-20.875
108,google/gemma-3-12b-it,animal,en,generic,leech,One example of a animal is ___.,-23.625,-23.625
109,google/gemma-3-12b-it,animal,en,generic,leopard,One example of a animal is ___.,-16.75,-16.75
110,google/gemma-3-12b-it,animal,en,generic,lightning bug,One example of a animal is ___.,-24.4375,-12.21875
111,google/gemma-3-12b-it,animal,en,generic,lion,One example of a animal is ___.,-14.8125,-14.8125
112,google/gemma-3-12b-it,animal,en,generic,llama,One example of a animal is ___.,-21.0,-21.0
113,google/gemma-3-12b-it,animal,en,generic,lobster,One example of a animal is ___.,-22.125,-22.125
114,google/gemma-3-12b-it,animal,en,generic,maggot,One example of a animal is ___.,-26.96875,-13.484375
115,google/gemma-3-12b-it,animal,en,generic,manatee,One example of a animal is ___.,-20.40625,-10.203125
116,google/gemma-3-12b-it,animal,en,generic,meerkat,One example of a animal is ___.,-22.253814697265625,-11.126907348632812
117,google/gemma-3-12b-it,animal,en,generic,mole,One example of a animal is ___.,-19.875,-19.875
118,google/gemma-3-12b-it,animal,en,generic,mongoose,One example of a animal is ___.,-20.625,-20.625
119,google/gemma-3-12b-it,animal,en,generic,monkey,One example of a animal is ___.,-18.125,-18.125
120,google/gemma-3-12b-it,animal,en,generic,moose,One example of a animal is ___.,-17.25,-17.25
121,google/gemma-3-12b-it,animal,en,generic,moth,One example of a animal is ___.,-20.25,-20.25
122,google/gemma-3-12b-it,animal,en,generic,mouse,One example of a animal is ___.,-16.5,-16.5
123,google/gemma-3-12b-it,animal,en,generic,mussel,One example of a animal is ___.,-22.9058837890625,-11.45294189453125
124,google/gemma-3-12b-it,animal,en,generic,octopus,One example of a animal is ___.,-17.25,-17.25
125,google/gemma-3-12b-it,animal,en,generic,orangutan,One example of a animal is ___.,-18.432861328125,-9.2164306640625
126,google/gemma-3-12b-it,animal,en,generic,otter,One example of a animal is ___.,-19.125,-19.125
127,google/gemma-3-12b-it,animal,en,generic,oyster,One example of a animal is ___.,-22.25,-22.25
128,google/gemma-3-12b-it,animal,en,generic,panda,One example of a animal is ___.,-18.625,-18.625
129,google/gemma-3-12b-it,animal,en,generic,panther,One example of a animal is ___.,-19.75,-19.75
130,google/gemma-3-12b-it,animal,en,generic,pig,One example of a animal is ___.,-16.25,-16.25
131,google/gemma-3-12b-it,animal,en,generic,pigeon,One example of a animal is ___.,-19.5,-19.5
132,google/gemma-3-12b-it,animal,en,generic,piglet,One example of a animal is ___.,-23.34375,-11.671875
133,google/gemma-3-12b-it,animal,en,generic,platypus,One example of a animal is ___.,-20.52679443359375,-6.842264811197917
134,google/gemma-3-12b-it,animal,en,generic,polar bear,One example of a animal is ___.,-15.3203125,-7.66015625
135,google/gemma-3-12b-it,animal,en,generic,pony,One example of a animal is ___.,-21.625,-21.625
136,google/gemma-3-12b-it,animal,en,generic,poodle,One example of a animal is ___.,-19.5,-19.5
137,google/gemma-3-12b-it,animal,en,generic,porcupine,One example of a animal is ___.,-20.640625,-10.3203125
138,google/gemma-3-12b-it,animal,en,generic,possum,One example of a animal is ___.,-20.6875,-10.34375
139,google/gemma-3-12b-it,animal,en,generic,praying mantis,One example of a animal is ___.,-21.33087158203125,-7.11029052734375
140,google/gemma-3-12b-it,animal,en,generic,puffin,One example of a animal is ___.,-20.78125,-10.390625
141,google/gemma-3-12b-it,animal,en,generic,pug,One example of a animal is ___.,-21.375,-21.375
142,google/gemma-3-12b-it,animal,en,generic,puppy,One example of a animal is ___.,-18.25,-18.25
143,google/gemma-3-12b-it,animal,en,generic,rabbit,One example of a animal is ___.,-17.375,-17.375
144,google/gemma-3-12b-it,animal,en,generic,raccoon,One example of a animal is ___.,-19.625,-19.625
145,google/gemma-3-12b-it,animal,en,generic,ram,One example of a animal is ___.,-24.5,-24.5
146,google/gemma-3-12b-it,animal,en,generic,rat,One example of a animal is ___.,-19.5,-19.5
147,google/gemma-3-12b-it,animal,en,generic,rattlesnake,One example of a animal is ___.,-20.8919677734375,-10.44598388671875
148,google/gemma-3-12b-it,animal,en,generic,reindeer,One example of a animal is ___.,-19.75,-19.75
149,google/gemma-3-12b-it,animal,en,generic,rhinoceros,One example of a animal is ___.,-18.125,-18.125
150,google/gemma-3-12b-it,animal,en,generic,sardine,One example of a animal is ___.,-22.255218505859375,-11.127609252929688
151,google/gemma-3-12b-it,animal,en,generic,scallop,One example of a animal is ___.,-26.125,-26.125
152,google/gemma-3-12b-it,animal,en,generic,scorpion,One example of a animal is ___.,-22.875,-22.875
153,google/gemma-3-12b-it,animal,en,generic,sea urchin,One example of a animal is ___.,-20.845703125,-6.948567708333333
154,google/gemma-3-12b-it,animal,en,generic,seal,One example of a animal is ___.,-19.0,-19.0
155,google/gemma-3-12b-it,animal,en,generic,shark,One example of a animal is ___.,-15.9375,-15.9375
156,google/gemma-3-12b-it,animal,en,generic,sheep,One example of a animal is ___.,-14.4375,-14.4375
157,google/gemma-3-12b-it,animal,en,generic,shrimp,One example of a animal is ___.,-19.5,-19.5
158,google/gemma-3-12b-it,animal,en,generic,skunk,One example of a animal is ___.,-20.73046875,-10.365234375
159,google/gemma-3-12b-it,animal,en,generic,sloth,One example of a animal is ___.,-19.625,-19.625
160,google/gemma-3-12b-it,animal,en,generic,slug,One example of a animal is ___.,-20.875,-20.875
161,google/gemma-3-12b-it,animal,en,generic,snail,One example of a animal is ___.,-18.5,-18.5
162,google/gemma-3-12b-it,animal,en,generic,squid,One example of a animal is ___.,-18.625,-18.625
163,google/gemma-3-12b-it,animal,en,generic,squirrel,One example of a animal is ___.,-15.8125,-15.8125
164,google/gemma-3-12b-it,animal,en,generic,stingray,One example of a animal is ___.,-23.2890625,-11.64453125
165,google/gemma-3-12b-it,animal,en,generic,swordfish,One example of a animal is ___.,-24.0888671875,-12.04443359375
166,google/gemma-3-12b-it,animal,en,generic,tadpole,One example of a animal is ___.,-18.984375,-9.4921875
167,google/gemma-3-12b-it,animal,en,generic,tiger,One example of a animal is ___.,-15.0625,-15.0625
168,google/gemma-3-12b-it,animal,en,generic,toucan,One example of a animal is ___.,-20.3076171875,-10.15380859375
169,google/gemma-3-12b-it,animal,en,generic,turkey,One example of a animal is ___.,-20.625,-20.625
170,google/gemma-3-12b-it,animal,en,generic,walrus,One example of a animal is ___.,-20.5380859375,-10.26904296875
171,google/gemma-3-12b-it,animal,en,generic,warthog,One example of a animal is ___.,-23.3271484375,-7.775716145833333
172,google/gemma-3-12b-it,animal,en,generic,weasel,One example of a animal is ___.,-25.3125,-12.65625
173,google/gemma-3-12b-it,animal,en,generic,whale,One example of a animal is ___.,-15.5,-15.5
174,google/gemma-3-12b-it,animal,en,generic,wolf,One example of a animal is ___.,-16.875,-16.875
175,google/gemma-3-12b-it,animal,en,generic,yak,One example of a animal is ___.,-21.375,-21.375
176,google/gemma-3-12b-it,animal,en,generic,zebra,One example of a animal is ___.,-15.5625,-15.5625
177,google/gemma-3-12b-it,animal,en,indefinite_prod,ant,Name an example of a animal: ___,-12.8125,-12.8125
178,google/gemma-3-12b-it,animal,en,indefinite_prod,bee,Name an example of a animal: ___,-12.375,-12.375
179,google/gemma-3-12b-it,animal,en,indefinite_prod,butterfly,Name an example of a animal: ___,-13.9375,-13.9375
180,google/gemma-3-12b-it,animal,en,indefinite_prod,crow,Name an example of a animal: ___,-14.6875,-14.6875
181,google/gemma-3-12b-it,animal,en,indefinite_prod,duck,Name an example of a animal: ___,-12.25,-12.25
182,google/gemma-3-12b-it,animal,en,indefinite_prod,eagle,Name an example of a animal: ___,-12.1875,-12.1875
183,google/gemma-3-12b-it,animal,en,indefinite_prod,frog,Name an example of a animal: ___,-11.5,-11.5
184,google/gemma-3-12b-it,animal,en,indefinite_prod,hummingbird,Name an example of a animal: ___,-13.625,-13.625
185,google/gemma-3-12b-it,animal,en,indefinite_prod,iguana,Name an example of a animal: ___,-15.562610149383545,-7.7813050746917725
186,google/gemma-3-12b-it,animal,en,indefinite_prod,lizard,Name an example of a animal: ___,-12.375,-12.375
187,google/gemma-3-12b-it,animal,en,indefinite_prod,owl,Name an example of a animal: ___,-13.5,-13.5
188,google/gemma-3-12b-it,animal,en,indefinite_prod,parrot,Name an example of a animal: ___,-10.3125,-10.3125
189,google/gemma-3-12b-it,animal,en,indefinite_prod,seagull,Name an example of a animal: ___,-16.25201416015625,-8.126007080078125
190,google/gemma-3-12b-it,animal,en,indefinite_prod,snake,Name an example of a animal: ___,-10.0625,-10.0625
191,google/gemma-3-12b-it,animal,en,indefinite_prod,spider,Name an example of a animal: ___,-13.75,-13.75
192,google/gemma-3-12b-it,animal,en,indefinite_prod,vulture,Name an example of a animal: ___,-16.75,-16.75
193,google/gemma-3-12b-it,animal,en,indefinite_prod,wasp,Name an example of a animal: ___,-18.375,-18.375
194,google/gemma-3-12b-it,animal,en,indefinite_prod,worm,Name an example of a animal: ___,-15.5625,-15.5625
195,google/gemma-3-12b-it,animal,en,indefinite_prod,beetle,Name an example of a animal: ___,-14.4375,-14.4375
196,google/gemma-3-12b-it,animal,en,indefinite_prod,bird,Name an example of a animal: ___,-10.4375,-10.4375
197,google/gemma-3-12b-it,animal,en,indefinite_prod,cockroach,Name an example of a animal: ___,-16.125187873840332,-8.062593936920166
198,google/gemma-3-12b-it,animal,en,indefinite_prod,dragonfly,Name an example of a animal: ___,-15.1875,-15.1875
199,google/gemma-3-12b-it,animal,en,indefinite_prod,flamingo,Name an example of a animal: ___,-12.75,-12.75
200,google/gemma-3-12b-it,animal,en,indefinite_prod,grasshopper,Name an example of a animal: ___,-14.72216796875,-7.361083984375
201,google/gemma-3-12b-it,animal,en,indefinite_prod,hawk,Name an example of a animal: ___,-15.375,-15.375
202,google/gemma-3-12b-it,animal,en,indefinite_prod,ladybug,Name an example of a animal: ___,-17.05126953125,-8.525634765625
203,google/gemma-3-12b-it,animal,en,indefinite_prod,mosquito,Name an example of a animal: ___,-17.375,-17.375
204,google/gemma-3-12b-it,animal,en,indefinite_prod,ostrich,Name an example of a animal: ___,-13.9375,-13.9375
205,google/gemma-3-12b-it,animal,en,indefinite_prod,peacock,Name an example of a animal: ___,-14.875,-14.875
206,google/gemma-3-12b-it,animal,en,indefinite_prod,pelican,Name an example of a animal: ___,-14.821044921875,-7.4105224609375
207,google/gemma-3-12b-it,animal,en,indefinite_prod,penguin,Name an example of a animal: ___,-10.0625,-10.0625
208,google/gemma-3-12b-it,animal,en,indefinite_prod,pheasant,Name an example of a animal: ___,-18.625,-18.625
209,google/gemma-3-12b-it,animal,en,indefinite_prod,rooster,Name an example of a animal: ___,-15.3125,-15.3125
210,google/gemma-3-12b-it,animal,en,indefinite_prod,seahorse,Name an example of a animal: ___,-17.02734375,-8.513671875
211,google/gemma-3-12b-it,animal,en,indefinite_prod,starfish,Name an example of a animal: ___,-16.125,-16.125
212,google/gemma-3-12b-it,animal,en,indefinite_prod,swan,Name an example of a animal: ___,-14.4375,-14.4375
213,google/gemma-3-12b-it,animal,en,indefinite_prod,tarantula,Name an example of a animal: ___,-17.42822265625,-5.809407552083333
214,google/gemma-3-12b-it,animal,en,indefinite_prod,tick,Name an example of a animal: ___,-16.125,-16.125
215,google/gemma-3-12b-it,animal,en,indefinite_prod,toad,Name an example of a animal: ___,-15.4375,-15.4375
216,google/gemma-3-12b-it,animal,en,indefinite_prod,turtle,Name an example of a animal: ___,-11.5,-11.5
217,google/gemma-3-12b-it,animal,en,indefinite_prod,aardvark,Name an example of a animal: ___,-15.19589614868164,-5.065298716227214
218,google/gemma-3-12b-it,animal,en,indefinite_prod,alligator,Name an example of a animal: ___,-11.8125,-11.8125
219,google/gemma-3-12b-it,animal,en,indefinite_prod,alpaca,Name an example of a animal: ___,-17.500168800354004,-8.750084400177002
220,google/gemma-3-12b-it,animal,en,indefinite_prod,anteater,Name an example of a animal: ___,-15.315765380859375,-7.6578826904296875
221,google/gemma-3-12b-it,animal,en,indefinite_prod,antelope,Name an example of a animal: ___,-13.1875,-13.1875
222,google/gemma-3-12b-it,animal,en,indefinite_prod,badger,Name an example of a animal: ___,-14.4375,-14.4375
223,google/gemma-3-12b-it,animal,en,indefinite_prod,barnacle,Name an example of a animal: ___,-23.15625,-11.578125
224,google/gemma-3-12b-it,animal,en,indefinite_prod,bat,Name an example of a animal: ___,-14.125,-14.125
225,google/gemma-3-12b-it,animal,en,indefinite_prod,bear,Name an example of a animal: ___,-9.0625,-9.0625
226,google/gemma-3-12b-it,animal,en,indefinite_prod,beaver,Name an example of a animal: ___,-11.8125,-11.8125
227,google/gemma-3-12b-it,animal,en,indefinite_prod,bison,Name an example of a animal: ___,-15.625,-15.625
228,google/gemma-3-12b-it,animal,en,indefinite_prod,blowfish,Name an example of a animal: ___,-20.7666015625,-10.38330078125
229,google/gemma-3-12b-it,animal,en,indefinite_prod,boar,Name an example of a animal: ___,-18.125,-18.125
230,google/gemma-3-12b-it,animal,en,indefinite_prod,bug,Name an example of a animal: ___,-18.625,-18.625
231,google/gemma-3-12b-it,animal,en,indefinite_prod,bull,Name an example of a animal: ___,-16.5,-16.5
232,google/gemma-3-12b-it,animal,en,indefinite_prod,calf,Name an example of a animal: ___,-17.875,-17.875
233,google/gemma-3-12b-it,animal,en,indefinite_prod,camel,Name an example of a animal: ___,-12.6875,-12.6875
234,google/gemma-3-12b-it,animal,en,indefinite_prod,cardinal,Name an example of a animal: ___,-17.5,-17.5
235,google/gemma-3-12b-it,animal,en,indefinite_prod,cat,Name an example of a animal: ___,-8.8125,-8.8125
236,google/gemma-3-12b-it,animal,en,indefinite_prod,caterpillar,Name an example of a animal: ___,-15.4375,-15.4375
237,google/gemma-3-12b-it,animal,en,indefinite_prod,catfish,Name an example of a animal: ___,-15.125,-15.125
238,google/gemma-3-12b-it,animal,en,indefinite_prod,cheetah,Name an example of a animal: ___,-12.1875,-12.1875
239,google/gemma-3-12b-it,animal,en,indefinite_prod,chick,Name an example of a animal: ___,-16.25,-16.25
240,google/gemma-3-12b-it,animal,en,indefinite_prod,chicken,Name an example of a animal: ___,-14.0,-14.0
241,google/gemma-3-12b-it,animal,en,indefinite_prod,chihuahua,Name an example of a animal: ___,-15.5,-15.5
242,google/gemma-3-12b-it,animal,en,indefinite_prod,chinchilla,Name an example of a animal: ___,-17.170196533203125,-5.723398844401042
243,google/gemma-3-12b-it,animal,en,indefinite_prod,chipmunk,Name an example of a animal: ___,-16.130340576171875,-8.065170288085938
244,google/gemma-3-12b-it,animal,en,indefinite_prod,clam,Name an example of a animal: ___,-18.5,-18.5
245,google/gemma-3-12b-it,animal,en,indefinite_prod,cobra,Name an example of a animal: ___,-15.6875,-15.6875
246,google/gemma-3-12b-it,animal,en,indefinite_prod,cockatoo,Name an example of a animal: ___,-15.75628662109375,-5.252095540364583
247,google/gemma-3-12b-it,animal,en,indefinite_prod,coral,Name an example of a animal: ___,-15.6875,-15.6875
248,google/gemma-3-12b-it,animal,en,indefinite_prod,cougar,Name an example of a animal: ___,-16.00049591064453,-8.000247955322266
249,google/gemma-3-12b-it,animal,en,indefinite_prod,cow,Name an example of a animal: ___,-11.25,-11.25
250,google/gemma-3-12b-it,animal,en,indefinite_prod,coyote,Name an example of a animal: ___,-14.125,-14.125
251,google/gemma-3-12b-it,animal,en,indefinite_prod,crab,Name an example of a animal: ___,-15.3125,-15.3125
252,google/gemma-3-12b-it,animal,en,indefinite_prod,crayfish,Name an example of a animal: ___,-18.25,-18.25
253,google/gemma-3-12b-it,animal,en,indefinite_prod,dalmatian,Name an example of a animal: ___,-18.525272369384766,-6.175090789794922
254,google/gemma-3-12b-it,animal,en,indefinite_prod,deer,Name an example of a animal: ___,-10.6875,-10.6875
255,google/gemma-3-12b-it,animal,en,indefinite_prod,dog,Name an example of a animal: ___,-8.75,-8.75
256,google/gemma-3-12b-it,animal,en,indefinite_prod,dolphin,Name an example of a animal: ___,-9.25,-9.25
257,google/gemma-3-12b-it,animal,en,indefinite_prod,donkey,Name an example of a animal: ___,-13.4375,-13.4375
258,google/gemma-3-12b-it,animal,en,indefinite_prod,duckling,Name an example of a animal: ___,-20.3125,-10.15625
259,google/gemma-3-12b-it,animal,en,indefinite_prod,earwig,Name an example of a animal: ___,-22.28125,-11.140625
260,google/gemma-3-12b-it,animal,en,indefinite_prod,eel,Name an example of a animal: ___,-14.75,-14.75
261,google/gemma-3-12b-it,animal,en,indefinite_prod,elephant,Name an example of a animal: ___,-8.9375,-8.9375
262,google/gemma-3-12b-it,animal,en,indefinite_prod,ferret,Name an example of a animal: ___,-15.875,-15.875
263,google/gemma-3-12b-it,animal,en,indefinite_prod,fish,Name an example of a animal: ___,-11.1875,-11.1875
264,google/gemma-3-12b-it,animal,en,indefinite_prod,fly,Name an example of a animal: ___,-15.8125,-15.8125
265,google/gemma-3-12b-it,animal,en,indefinite_prod,fox,Name an example of a animal: ___,-10.1875,-10.1875
266,google/gemma-3-12b-it,animal,en,indefinite_prod,gazelle,Name an example of a animal: ___,-18.152587890625,-9.0762939453125
267,google/gemma-3-12b-it,animal,en,indefinite_prod,giraffe,Name an example of a animal: ___,-11.0625,-11.0625
