category,concept_en,instance_English,instance_German,instance_Spanish,norm_rating_English,norm_rating_German,norm_rating_Spanish,n_languages,in_multiple_languages,gemma_typicality
clothing,SWEATER,sweater,Pullover,Sudadera,0.9104396005249584,0.9894444444444443,0.8943661971830986,3,True,6
clothing,HEADBAND,headband,Stirnband,,0.4444558202616432,0.1928104575163393,,2,True,4
clothing,TIE (NOUN),,Krawatte,Corbata,,0.4722222222222224,0.4014084507042254,2,True,5
construction equipment,CRANE,crane,Kranich,,0.746257307467562,0.5883333333333336,,2,True,1
food,CHICKEN,chicken,Huhn,Pollo,0.9302832605659532,0.8311111111111112,0.7816901408450704,3,True,5
food,APPLE,apple,Apfel,,0.8568123456965422,0.9894444444444443,,2,True,7
food,AVOCADO,avocado,Avocado,,0.6359484978686484,0.4956790123456789,,2,True,5
food,BANANA,banana,Banane,,0.8022916701323212,0.9472222222222224,,2,True,7
food,BEAN,bean,Bohne,,0.6201231953853323,0.7572222222222224,,2,True,5
food,BLUEBERRY,blueberry,Blaubeere,,0.5948098793604321,0.7677777777777779,,2,True,6
food,CARROT,carrot,Mohrrübe,,0.7206924959311857,0.9683333333333332,,2,True,6
food,CAULIFLOWER,cauliflower,Blumenkohl,,0.5483493137605491,0.9261111111111112,,2,True,6
food,CELERY,celery,Sellerie,,0.5567346141155938,0.693888888888889,,2,True,4
food,CHERRY,cherry,Kirsche,,0.5370054638133447,0.9366666666666666,,2,True,6
food,CRANBERRY,cranberry,Preiselbeere,,0.4365604074742529,0.6305555555555556,,2,True,6
food,CUCUMBER,cucumber,Gurke,,0.6257757771915199,0.9788888888888888,,2,True,6
food,FIG,fig,Feige,,0.2191128964753066,0.4827777777777778,,2,True,6
food,GINGER,ginger,Ingwer,,0.1663521471488546,0.3790849673202608,,2,True,6
food,GOOSE,goose,Gans,,0.1024703852572078,0.9577777777777778,,2,True,3
food,GRAPE,grape,Weintraube,,0.6196526763677447,0.9577777777777778,,2,True,6
food,LEMON,lemon,Zitrone,,0.4663508811680411,0.8522222222222222,,2,True,6
food,MANGO,mango,Mango,,0.5428062961727105,0.693888888888889,,2,True,6
food,MELON,melon,Melone,,0.6172634446488489,0.7677777777777779,,2,True,6
food,OLIVE,olive,Olive,,0.3957559948755065,0.4956790123456789,,2,True,3
food,ONION,onion,Zwiebel,,0.5384350227189934,0.8416666666666668,,2,True,3
food,PAPAYA,papaya,Papaya,,0.2748028778909818,0.3350000000000002,,2,True,5
food,PEA,pea,Erbse,,0.526469836712952,0.8416666666666668,,2,True,5
food,PEACH,peach,Pfirsich,,0.6059751005016498,0.9472222222222224,,2,True,6
food,PEAR,pear,Birne,,0.5831191513569908,0.9683333333333332,,2,True,6
food,PINEAPPLE,pineapple,Ananas,,0.6368852500736993,0.9155555555555556,,2,True,6
food,POMEGRANATE,pomegranate,Granatapfel,,0.3268215973196986,0.4222222222222221,,2,True,6
food,POTATO,potato,Kartoffel,,0.8184225384638719,0.922222222222222,,2,True,6
food,PUMPKIN,pumpkin,Kürbis,,0.3501463511904509,0.633333333333333,,2,True,5
food,RADISH,radish,Radieschen,,0.3464472515525764,0.8311111111111112,,2,True,6
food,RASPBERRY,raspberry,Himbeere,,0.5001538556429141,0.8733333333333334,,2,True,6
food,STRAWBERRY,strawberry,Erdbeere,,0.7446718230499724,0.9577777777777778,,2,True,7
food,TOMATO,tomato,Tomate,,0.6275344323923772,0.9683333333333332,,2,True,6
food,TURKEY,turkey,Pute,,0.7535145694427932,0.6622222222222225,,2,True,5
food,LIME (FRUIT),,Limette,,,0.5144444444444447,,1,False,6
food,ORANGE (FRUIT),,Orange,,,0.9155555555555556,,1,False,3
food,PEPPER,,Paprika,,,0.8627777777777779,,1,False,6
furniture,BED,bed,Bett,Cama,0.8503333648994214,0.9577777777777778,0.9859154929577464,3,True,7
furniture,BENCH,bench,Bank,Banco,0.5005428189633846,0.5111111111111115,0.6338028169014084,3,True,3
furniture,CHAIR,chair,Stuhl,Silla,0.8725748266627238,0.9683333333333332,0.9647887323943662,3,True,7
furniture,ROCKING CHAIR,rocking chair,Schaukelstuhl,Mecedora,0.5754459658531648,0.6305555555555556,0.676056338028169,3,True,6
furniture,SHELF,shelf,Regal,Estante,0.4643321145920751,0.8000000000000005,0.7394366197183099,3,True,6
furniture,STOOL,stool,Hocker,Banqueta,0.5187305632154321,0.7466666666666667,0.6338028169014084,3,True,5
furniture,TABLE,table,Tisch,Escritor,0.9036423436927188,0.905,0.8028169014084507,3,True,7
mammal,BEAR,bear,Bär,Oso,0.7894464187299592,0.9577777777777778,0.943661971830986,3,True,6
mammal,BULL,bull,Stier,Toro,0.5702751550248403,0.693888888888889,0.9084507042253522,3,True,6
mammal,CAMEL,camel,Kamel,Camello,0.4639802668391626,0.81,0.5070422535211268,3,True,6
mammal,CAT,cat,Katze,Gato,0.8614126189409137,0.9788888888888888,0.9507042253521126,3,True,6
mammal,CHEETAH,cheetah,Gepard,Guepardo,0.5711952181738498,0.6200000000000001,0.352112676056338,3,True,5
mammal,COW,cow,Kuh,Vaca,0.8516432988310856,0.9894444444444443,0.9507042253521126,3,True,6
mammal,DEER,deer,Hirsch,Ciervo,0.7863522224199488,0.8733333333333334,0.6338028169014084,3,True,6
mammal,DOG,dog,Hund,Perro,0.956013061811583,0.9577777777777778,0.9859154929577464,3,True,7
mammal,DOLPHIN,dolphin,Delphin,Delfín,0.4820670612410385,0.8522222222222222,0.7253521126760565,3,True,7
mammal,ELEPHANT,elephant,Elefant,Elefante,0.7297011720131653,0.9683333333333332,0.8802816901408451,3,True,6
mammal,FOX,fox,Fuchs,Zorro,0.6531627372396777,0.8416666666666668,0.9154929577464788,3,True,6
mammal,GIRAFFE,giraffe,Giraffe,Jirafa,0.6531287657324999,0.8733333333333334,0.7183098591549296,3,True,6
mammal,GOAT,goat,Ziege,Cabra,0.6868654698459472,0.8205555555555556,0.7042253521126761,3,True,6
mammal,HAMSTER,hamster,Hamster,Hamster,0.5361583177951824,0.81,0.4577464788732394,3,True,6
mammal,HIPPOPOTAMUS,hippopotamus,Nilpferd,Hipopótamo,0.40310140148236,0.6411111111111112,0.5492957746478874,3,True,5
mammal,HORSE,horse,Pferd,Caballo,0.8668768597930078,0.9894444444444443,0.9084507042253522,3,True,7
mammal,KANGAROO,kangaroo,Känguru,Canguro,0.4348801079261882,0.6833333333333335,0.4577464788732394,3,True,5
mammal,LEOPARD,leopard,Leopard,Leopardo,0.5719983637199479,0.7466666666666667,0.8732394366197184,3,True,6
mammal,LION,lion,Löwe,León,0.7897332556804653,0.9577777777777778,0.9647887323943662,3,True,7
mammal,MONKEY,monkey,Affe,mono/s,0.8597604581412509,0.9577777777777778,0.8169014084507042,3,True,6
mammal,MOUSE,mouse,Maus,Ratón,0.5248764506983069,0.7994444444444445,0.7746478873239436,3,True,6
mammal,PIG,pig,Schwein,Cerdo,0.7732509535034751,0.9577777777777778,0.9084507042253522,3,True,6
mammal,RAT,rat,Ratte,Rata,0.4440990845817891,0.6727777777777779,0.7535211267605633,3,True,6
mammal,RHINOCEROS,rhinoceros,Nashorn,Rinoceronte,0.3055153185360275,0.7466666666666667,0.6830985915492959,3,True,6
mammal,SEAL,seal,Seehund,Foca,0.3566206279697572,0.5988888888888891,0.619718309859155,3,True,6
mammal,SHEEP,sheep,Schaf,Oveja,0.6785856460654959,0.9472222222222224,0.9366197183098592,3,True,6
mammal,SQUIRREL,squirrel,Eichhörnchen,Ardilla,0.6239919073077193,0.8311111111111112,0.5211267605633804,3,True,6
mammal,TIGER,tiger,Tiger,Tigre,0.714765819068156,0.8627777777777779,0.9154929577464788,3,True,6
mammal,WHALE,whale,Wal,Ballena,0.4979756210108817,0.651666666666667,0.6478873239436619,3,True,6
mammal,WOLF,wolf,Wolf,Lobo,0.6966972236879826,0.8733333333333334,0.9577464788732394,3,True,6
mammal,ZEBRA,zebra,Zebra,Cebra,0.6069393060820552,0.7677777777777779,0.528169014084507,3,True,4
mammal,ANTELOPE,antelope,Antilope,,0.3735274609584874,0.5883333333333336,,2,True,6
mammal,BADGER,badger,Dachs,,0.29200448176569,0.6094444444444446,,2,True,6
mammal,BAT,bat,Fledermaus,,0.2310767177218541,0.6305555555555556,,2,True,4
mammal,BEAVER,beaver,Biber,,0.5131798228584012,0.5672222222222225,,2,True,6
mammal,BISON,bison,Bison,,0.3963246715160372,0.5777777777777781,,2,True,6
mammal,COYOTE,coyote,Kojote,,0.5542301805608695,0.4370370370370364,,2,True,5
mammal,GAZELLE,gazelle,Gazelle,,0.3130412352617038,0.5566666666666668,,2,True,5
mammal,GUINEA PIG,guinea pig,Meerschweinchen,,0.5212784660703458,0.6727777777777779,,2,True,6
mammal,HEDGEHOG,hedgehog,Igel,,0.2885685322642022,0.7994444444444445,,2,True,3
mammal,MOLE,mole,Maulwurf,,0.1698820296524677,0.5777777777777781,,2,True,4
mammal,POLAR BEAR,polar bear,Eisbär,,0.5957169186020784,0.81,,2,True,7
mammal,REINDEER,reindeer,Rentier,,0.3776717989435744,0.6411111111111112,,2,True,6
musical instrument,ACCORDION,accordion,Akkordeon,,0.4121009223062627,0.7255555555555556,,2,True,6
musical instrument,DRUM,drum,Trommel,,0.81767475655788,0.7361111111111112,,2,True,6
musical instrument,FLUTE,flute,Flöte,,0.7898305150385275,0.9472222222222224,,2,True,6
musical instrument,GUITAR,guitar,Gitarre,,0.9741963451364202,0.9366666666666666,,2,True,7
musical instrument,HARMONICA,harmonica,Mundharmonika,,0.5500521843674714,0.4933333333333337,,2,True,6
musical instrument,HARP,harp,Harfe,,0.4098433789873173,0.651666666666667,,2,True,6
musical instrument,PIANO (INSTRUMENT),,Klavier,Piano,,0.9788888888888888,0.1549295774647887,2,True,7
musical instrument,SAXOPHONE,saxophone,Saxophon,,0.71967894829374,0.7572222222222224,,2,True,6
musical instrument,TAMBOURINE,tambourine,Tamburin,,0.4583172705156566,0.3455555555555559,,2,True,6
musical instrument,TRUMPET,trumpet,Trompete,,0.8452437782517647,0.9366666666666666,,2,True,6
musical instrument,VIOLIN,violin,Geige,,0.8710033284417317,0.9788888888888888,,2,True,7
plant,ASPARAGUS,asparagus,Spargel,,0.2581836375871459,0.8733333333333334,,2,True,6
plant,BROCCOLI,broccoli,Brokkoli,,0.3291603061222857,0.8522222222222222,,2,True,6
plant,LETTUCE,lettuce,Salat,,0.4641434937237335,0.7361111111111112,,2,True,6
plant,SPINACH,spinach,Spinat,,0.3772188997326293,0.8311111111111112,,2,True,6
seafood,CRAB,crab,Krebs,Cangrejo,0.7946716570227114,0.5144444444444447,0.3450704225352112,3,True,6
seafood,FISH,fish,Fisch,Pez,0.9305568838611644,0.9111111111111104,0.7394366197183099,3,True,7
seafood,SNAIL,snail,Schnecke,,0.1911982683046457,0.6200000000000001,,2,True,3
tool,AXE,axe,Axt,,0.7993612909755753,0.9577777777777778,,2,True,6
tool,BRUSH,brush,Bürste,,0.4720788314967189,0.217647058823529,,2,True,6
tool,CHISEL,chisel,Meißel,,0.7870884555706359,0.788888888888889,,2,True,6
tool,DRILL,drill,Bohrmaschine,,0.9520046813245094,0.9366666666666666,,2,True,6
tool,HAMMER,hammer,Hammer,,0.9304815868615388,0.9894444444444443,,2,True,7
tool,KNIFE,knife,Messer,,0.7585497611848592,0.7019607843137262,,2,True,7
tool,PLIERS,pliers,Zange,,0.8469564812739953,0.9472222222222224,,2,True,6
tool,RAKE,rake,Rechen,,0.7234747103375859,0.3555555555555555,,2,True,6
tool,SAW,saw,Säge,,0.8661896552733458,0.9472222222222224,,2,True,6
tool,SCREWDRIVER,screwdriver,Schraubenzieher,,0.9340069855698108,0.8944444444444445,,2,True,6
tool,SHOVEL,shovel,Schaufel,,0.8014706845607994,0.6411111111111112,,2,True,6
tool,SICKLE,sickle,Sichel,,0.482057063013066,0.3901234567901235,,2,True,3
tool,FILE (TOOL),,Feile,,,0.7783333333333335,,1,False,4
toy,RATTLE,rattle,Rassel,,0.5790878658385628,0.176666666666667,,2,True,7
vehicle,AIRPLANE,airplane,Hobel,,0.678690394684496,0.651666666666667,,2,True,1
vehicle,BOAT,boat,Boot,,0.5952187341701135,0.7677777777777779,,2,True,6
vehicle,BUS,bus,Bus,,0.9293119405043117,1.0,,2,True,6
vehicle,CANOE,canoe,Kanu,,0.2881576355151128,0.1133333333333336,,2,True,3
vehicle,CAR,car,Auto,,0.9937780539575308,1.0,,2,True,7
vehicle,CARRIAGE,carriage,Kutsche,,0.3357529930945213,0.4194444444444448,,2,True,6
vehicle,FERRY,ferry,Fähre,,0.4322608885970672,0.5672222222222225,,2,True,5
vehicle,HELICOPTER,helicopter,Hubschrauber,,0.5425395199251676,0.7255555555555556,,2,True,6
vehicle,MOTORCYCLE,motorcycle,Motorrad,,0.8617817628183279,0.7466666666666667,,2,True,6
vehicle,RAFT,raft,Floß,,0.1994652655848298,0.1238888888888891,,2,True,3
vehicle,SHIP,ship,Schiff,,0.5343369538561336,0.9577777777777778,,2,True,6
vehicle,SLED,sled,Schlitten,,0.1365510695678745,0.1977777777777781,,2,True,3
vehicle,SUBMARINE,submarine,U-Boot,,0.3225625722672141,0.0,,2,True,4
vehicle,TRAIN,train,Zug,,0.6978032959952116,0.9788888888888888,,2,True,6
