,concept,spanish,spanish_to_eng,german,german_to_eng,english,typ_es,typ_de,typ_en
27,animal,,,,,chick,,,0.5874799357945425
28,animal,Pollo,chicken,Huhn,chicken,chicken,0.7933333333333333,0.8666666666666667,0.8223816999327205
29,animal,,,,,chihuahua,,,0.6196078431372548
30,animal,,,,,chinchilla,,,0.38571428571428573
31,animal,,,,,chipmunk,,,0.6316594053351678
32,animal,,,,,clam,,,0.18367346938775508
33,animal,,,Kobra,cobra,cobra,,0.6166666666666667,0.3577123872804936
34,animal,,,,,cockatoo,,,0.3415435139573071
35,animal,Cucaracha,cockroach,,,cockroach,0.3,,0.2440008970621215
36,animal,,,,,coral,,,0.09411764705882343
37,animal,,,,,cougar,,,0.5878942486085343
38,animal,Vaca,cow,Kuh,cow,cow,0.9533333333333333,0.9916666666666667,0.9067717996289425
39,animal,,,Kojote,coyote,coyote,,0.5555555555555556,0.6650399290150844
40,animal,Cangrejo,crab,Krebs,crab,crab,0.37999999999999995,0.6166666666666667,0.41206145379500114
41,animal,,,,,crayfish,,,0.20779220779220778
42,animal,Cuervo,crow,,,crow,0.4266666666666667,,0.5118738404452688
43,animal,,,,,dalmatian,,,0.5934418711304746
44,animal,Ciervo,deer,,,deer,0.6533333333333333,,0.8310383494056964
45,animal,Perro,dog,Hund,dog,dog,0.9866666666666667,0.9666666666666667,0.9624903125807285
46,animal,Delfín,dolphin,Delphin,dolphin,dolphin,0.7400000000000001,0.8833333333333333,0.6320251177394035
47,animal,Burro,donkey,,,donkey,0.7599999999999999,,0.7529411764705882
48,animal,,,Libelle,dragonfly,dragonfly,,0.5701754385964912,0.20634920634920628
49,animal,Pato,duck,Ente,duck,duck,0.84,0.9500000000000001,0.7578397212543554
50,animal,,,,,duckling,,,0.5384544829167622
51,animal,Águila,eagle,,,eagle,0.64,,0.6423524248409039
52,animal,,,,,earwig,,,0.14459930313588848
53,animal,,,Aal,eel,eel,,0.7017543859649124,0.23450980392156856
54,animal,Elefante,elephant,Elefant,elephant,elephant,0.8866666666666667,0.975,0.8433179723502304
55,animal,,,Frettchen,ferret,ferret,,0.5350877192982456,0.46657283603096406
56,animal,Pez,fish,Fisch,fish,fish,0.7533333333333333,0.9298245614035089,0.5542168674698794
57,animal,,,,,flamingo,,,0.4801525005606639
58,animal,Mosca,fly,,,fly,0.44,,0.3250188964474678
59,animal,Zorro,fox,Fuchs,fox,fox,0.9199999999999999,0.875,0.7647840531561461
60,animal,Rana,frog,Frosch,frog,frog,0.6333333333333333,0.8083333333333332,0.6421282798833818
61,animal,,,Gazelle,gazelle,gazelle,,0.65,0.5053763440860215
62,animal,Jirafa,giraffe,Giraffe,giraffe,giraffe,0.7333333333333334,0.9,0.7720779220779221
63,animal,Cabra,goat,Ziege,goat,goat,0.7200000000000001,0.8583333333333334,0.7802363050483352
64,animal,,,,,goldfish,,,0.5682486948267679
65,animal,,,Gans,goose,goose,,0.9666666666666667,0.5872206025267249
66,animal,,,,,gopher,,,0.42774327122153216
67,animal,Gorila,gorilla,,,gorilla,0.6066666666666666,,0.7382534409112482
68,animal,Saltamontes,grasshopper,,,grasshopper,0.41333333333333333,,0.29081632653061223
69,animal,,,,,groundhog,,,0.5456864564007421
70,animal,,,Meerschweinchen,guinea pig,guinea pig,,0.7416666666666667,0.6193760262725779
71,animal,Hamster,hamster,Hamster,hamster,hamster,0.48666666666666664,0.85,0.6785714285714286
72,animal,,,,,hawk,,,0.5375510204081632
73,animal,,,Igel,hedgehog,hedgehog,,0.8416666666666667,0.4936941068562256
74,animal,Hipopótamo,hippopotamus,Nilpferd,hippopotamus,hippopotamus,0.5733333333333334,0.7166666666666667,0.6129568106312293
75,animal,Caballo,horse,Pferd,horse,horse,0.9133333333333334,0.9916666666666667,0.877451468392235
76,animal,Colibrí,hummingbird,,,hummingbird,0.21999999999999997,,0.4228387984407246
77,animal,Hiena,hyena,,,hyena,0.3466666666666667,,0.5029478458049886
78,animal,Iguana,iguana,Leguan,iguana,iguana,0.45333333333333337,0.5740740740740741,0.42478354978354976
79,animal,,,,,jellyfish,,,0.2705082032813125
80,animal,Canguro,kangaroo,Känguru,kangaroo,kangaroo,0.48666666666666664,0.75,0.7007567071772529
81,animal,,,,,kitten,,,0.8705288567039718
82,animal,Koala,koala,,,koala,0.5866666666666666,,0.543778801843318
83,animal,,,,,ladybug,,,0.2506407214048409
84,animal,Cordero,lamb,,,lamb,0.7933333333333333,,0.6398705823792932
85,animal,,,,,leech,,,0.13061224489795908
86,animal,Leopardo,leopard,Leopard,leopard,leopard,0.88,0.7999999999999999,0.674080868302377
87,animal,,,,,lightning bug,,,0.16530612244897955
88,animal,León,lion,Löwe,lion,lion,0.9666666666666667,0.9666666666666667,0.858114674441205
89,animal,Lagartija,lizard,Eidechse,lizard,lizard,0.5066666666666667,0.6333333333333333,0.5495798319327732
90,animal,,,Lama,llama,llama,,0.7000000000000001,0.5758855266244429
91,animal,,,,,lobster,,,0.3479437229437229
92,animal,,,,,maggot,,,0.1285714285714286
93,animal,,,,,manatee,,,0.32102728731942215
94,animal,,,,,meerkat,,,0.3695598721416277
95,animal,,,Maulwurf,mole,mole,,0.6666666666666666,0.42667299477930704
96,animal,,,,,mongoose,,,0.3609263930291217
97,animal,mono/s,monkey,Affe,monkey,monkey,0.8266666666666667,0.9666666666666667,0.8407029478458049
98,animal,,,,,moose,,,0.6934338952972493
99,animal,Mosquito,mosquito,,,mosquito,0.39999999999999997,,0.18511404561824732
100,animal,,,,,moth,,,0.19079259610821073
101,animal,Ratón,mouse,Maus,mouse,mouse,0.7866666666666666,0.8416666666666667,0.7607216799763383
102,animal,,,Miesmuschel,mussel,mussel,,0.3508771929824562,0.08673469387755096
103,animal,,,,,octopus,,,0.38587848932676516
104,animal,Orangután,orangutan,,,orangutan,0.7533333333333333,,0.5458269329237071
105,animal,Avestruz,ostrich,,,ostrich,0.4466666666666667,,0.4788657035848047
106,animal,,,,,otter,,,0.5327479829140959
107,animal,Lechuza,owl,,,owl,0.6133333333333333,,0.625
108,animal,,,,,oyster,,,0.18628381585192205
109,animal,,,,,panda,,,0.7477324263038548
110,animal,Pantera,panther,,,panther,0.8266666666666667,,0.6406817672123795
111,animal,Loro,parrot,Papagei,parrot,parrot,0.7066666666666667,0.7916666666666666,0.5897959183673469
112,animal,,,,,peacock,,,0.5255675303829397
113,animal,,,,,pelican,,,0.4125200642054575
114,animal,,,Pinguin,penguin,penguin,,0.7666666666666666,0.6027874564459931
115,animal,,,,,pheasant,,,0.28410914927768854
116,animal,Cerdo,pig,Schwein,pig,pig,0.9133333333333334,0.9666666666666667,0.8491570541259982
117,animal,Paloma,pigeon,,,pigeon,0.7733333333333333,,0.5620929222752931
118,animal,,,,,piglet,,,0.641595964228388
119,animal,,,,,platypus,,,0.34099378881987574
120,animal,,,Eisbär,polar bear,polar bear,,0.85,0.6857142857142857
121,animal,,,Pony,pony,pony,,0.8166666666666668,0.7852216748768474
122,animal,,,,,poodle,,,0.6597093382807667
123,animal,,,,,porcupine,,,0.47212413055109675
124,animal,,,,,possum,,,0.5955699352911896
125,animal,,,,,praying mantis,,,0.1778615794143744
126,animal,,,,,puffin,,,0.25747508305647837
127,animal,,,,,pug,,,0.6384839650145773
128,animal,,,,,puppy,,,0.9028510280516702
129,animal,Conejo,rabbit,,,rabbit,0.8533333333333334,,0.8070097604259094
130,animal,,,,,raccoon,,,0.7682753101240495
131,animal,,,,,ram,,,0.46962233169129725
132,animal,Rata,rat,Ratte,rat,rat,0.7666666666666666,0.7416666666666667,0.6816326530612244
133,animal,,,,,rattlesnake,,,0.4336961451247165
134,animal,,,Rentier,reindeer,reindeer,,0.7166666666666667,0.49891774891774887
135,animal,Rinoceronte,rhinoceros,Nashorn,rhinoceros,rhinoceros,0.7000000000000001,0.7999999999999999,0.5993197278911565
136,animal,Gallo,rooster,,,rooster,0.7599999999999999,,0.6599378881987578
137,animal,Sardina,sardine,,,sardine,0.48666666666666664,,0.18146053602163748
138,animal,,,,,scallop,,,0.08667736757624389
139,animal,,,,,scorpion,,,0.27959183673469384
140,animal,,,,,sea urchin,,,0.11620648259303713
141,animal,Gaviota,seagull,,,seagull,0.5533333333333333,,0.42502218278615794
142,animal,,,Seepferdchen,seahorse,seahorse,,0.5416666666666666,0.26202205019939007
143,animal,Foca,seal,Seehund,seal,seal,0.64,0.6833333333333332,0.5200642054574639
144,animal,Tiburón,shark,,,shark,0.6666666666666666,,0.5723562152133581
145,animal,Oveja,sheep,Schaf,sheep,sheep,0.94,0.9583333333333334,0.7841614906832298
146,animal,,,,,shrimp,,,0.2396239394634257
147,animal,,,,,skunk,,,0.6269085411942555
148,animal,,,,,sloth,,,0.4918831168831169
149,animal,,,,,slug,,,0.17142857142857143
150,animal,,,Schnecke,snail,snail,,0.7000000000000001,0.36734693877551017
151,animal,Serpiente,snake,Schlange,snake,snake,0.6266666666666666,0.7833333333333333,0.584126984126984
152,animal,Araña,spider,Spinne,spider,spider,0.49333333333333335,0.75,0.3685823754789272
153,animal,Calamar,squid,,,squid,0.24666666666666667,,0.2873563218390805
154,animal,Ardilla,squirrel,Eichhörnchen,squirrel,squirrel,0.5466666666666667,0.8666666666666667,0.7528891074502091
155,animal,,,Seestern,starfish,starfish,,0.2916666666666667,0.2977697408077154
156,animal,,,,,stingray,,,0.3134602155468929
157,animal,,,,,swan,,,0.5152036718301779
158,animal,,,,,swordfish,,,0.2900226757369614
159,animal,,,,,tadpole,,,0.1992225461613216
160,animal,,,Tarantel,tarantula,tarantula,,0.40350877192982465,0.25280612244897954
161,animal,,,Zecke,tick,tick,,0.26315789473684204,0.13322632423756012
162,animal,Tigre,tiger,Tiger,tiger,tiger,0.9199999999999999,0.8916666666666666,0.8354352977145917
163,animal,Sapo,toad,,,toad,0.52,,0.4620248099239696
164,animal,,,,,toucan,,,0.33333333333333337
165,animal,,,Pute,turkey,turkey,,0.7333333333333334,0.623861852433281
166,animal,Tortuga,turtle,,,turtle,0.7599999999999999,,0.692713529856387
167,animal,Buitre,vulture,,,vulture,0.43333333333333335,,0.38140589569160993
168,animal,,,,,walrus,,,0.4159132007233273
169,animal,,,Warzenschwein,warthog,warthog,,0.6333333333333333,0.3495491219743711
170,animal,Avispa,wasp,Wespe,wasp,wasp,0.43333333333333335,0.631578947368421,0.24096385542168672
171,animal,,,,,weasel,,,0.4684494487450152
172,animal,Ballena,whale,Wal,whale,whale,0.6666666666666666,0.725,0.5532630634671452
173,animal,Lobo,wolf,Wolf,wolf,wolf,0.96,0.9,0.8287590898428336
174,animal,Gusano,worm,Wurm,worm,worm,0.35333333333333333,0.5789473684210527,0.28421052631578936
175,animal,,,,,yak,,,0.33770651117589895
176,animal,Cebra,zebra,Zebra,zebra,zebra,0.5533333333333333,0.8166666666666668,0.7435149884129476
177,animal,Hormiga,aunt,,,,0.5466666666666667,,
178,animal,Periquito,budgerigar,,,,0.6533333333333333,,
179,animal,Canario,canary,,,,0.54,,
180,animal,Potro,colt,,,,0.7733333333333333,,
181,animal,Cocodrilo,crocodile,Krokodil,crocodile,,0.5333333333333333,0.7583333333333333,
182,animal,Halcón,falcon,,,,0.45999999999999996,,
183,animal,Gamo,fallow deer,,,,0.3466666666666667,,
184,animal,Colorín,goldfinch,,,,0.14666666666666664,,
185,animal,Liebre,hare,Hase,hare,,0.9,0.9416666666666668,
186,animal,Gallina,hen,,,,0.8133333333333334,,
187,animal,Lagarto,lizard,,,,0.4666666666666666,,
188,animal,Lince,lynx,Luchs,lynx,,0.7999999999999999,0.6583333333333333,
189,animal,Yegua,mare,,,,0.8333333333333334,,
190,animal,Búho,owl,,,,0.48666666666666664,,
191,animal,Buey,ox,,,,0.5666666666666668,,
192,animal,Perdiz,partridge,,,,0.7000000000000001,,
193,animal,Gorrino,pig,,,,0.44,,
194,animal,Langostino,prawn,,,,0.36000000000000004,,
195,animal,Gamba,prawn,,,,0.26,,
196,animal,Puma,puma,,,,0.7333333333333334,,
197,animal,Codorniz,quail,,,,0.35333333333333333,,
198,animal,Salmón,salmon,Lachs,salmon,,0.52,0.6578947368421052,
199,animal,Culebra,snake,,,,0.47333333333333333,,
200,animal,Gorrión,sparrow,,,,0.48666666666666664,,
201,animal,Cigüeña,stork,,,,0.6,,
202,animal,Golondrina,swallow,,,,0.5533333333333333,,
203,animal,Trucha,trout,,,,0.5,,
204,animal,Jabalí,wild boar,Wildschwein,wild boar,,0.7133333333333334,0.8666666666666667,
205,animal,,,Feuerkäfer,Cardinal beetle,,,0.3541666666666667,
206,animal,,,Raubkatze,big cat,,,0.6749999999999999,
207,animal,,,Schwarzbär,black bear,,,0.7083333333333334,
208,animal,,,Braunbär,brown bear,,,0.7999999999999999,
209,animal,,,Büffel,buffalo,,,0.7000000000000001,
210,animal,,,Chamäleon,chameleon,,,0.6166666666666667,
211,animal,,,Schimpanse,chimpanzee,,,0.7833333333333333,
212,animal,,,Dromedar,dromedary,,,0.5833333333333334,
213,animal,,,Regenwurm,earthworm,,,0.6583333333333333,
214,animal,,,Elch,elk,,,0.775,
215,animal,,,Kreuzspinne,garden spider,,,0.425,
216,animal,,,Buckelwal,humpback whale,,,0.5666666666666667,
217,animal,,,Steinbock,ibex,,,0.6833333333333332,
218,animal,,,Marienkäfer,ladybird,,,0.7166666666666667,
219,animal,,,Murmeltier,marmot,,,0.6166666666666667,
220,animal,,,Marder,marten,,,0.6833333333333332,
221,animal,,,Milbe,mite,,,0.16666666666666666,
222,animal,,,Hecht,pike,,,0.631578947368421,
223,animal,,,Iltis,polecat,,,0.6166666666666667,
224,animal,,,Hornkäfer,rhinocerous horn beetle,,,0.3333333333333333,
225,animal,,,Flusspferd,river horse,,,0.6833333333333332,
226,animal,,,Reh,roe deer,,,0.8916666666666666,
227,animal,,,Echse,saurian,,,0.6166666666666667,
228,animal,,,Schildlaus,scale insect,,,0.23148148148148154,
229,animal,,,Muschel,sea shell,,,0.3916666666666666,
230,animal,,,Hirsch,stag / deer,,,0.9,
231,animal,,,Stabheuschrecke,stick insect,,,0.2708333333333333,
232,animal,,,Schildkröte,tortoise,,,0.6833333333333332,
233,animal,,,Wasserbüffel,water buffalo,,,0.5833333333333334,
234,animal,,,Wildkatze,wild cat,,,0.6833333333333332,
235,arts and crafts supply,,,,,bead,,,0.5930232558139535
236,arts and crafts supply,,,,,button,,,0.3797928262213976
237,arts and crafts supply,,,,,canvas,,,0.7042727203240847
238,arts and crafts supply,,,,,cardboard,,,0.5125429947259803
239,arts and crafts supply,,,,,chalk,,,0.5048766494549628
240,arts and crafts supply,,,,,charcoal,,,0.3685198217217921
241,arts and crafts supply,,,,,chisel,,,0.23694779116465864
242,arts and crafts supply,,,,,clay,,,0.6192115400377018
243,arts and crafts supply,,,,,crayon,,,0.7838246409674982
244,arts and crafts supply,,,,,easel,,,0.625615763546798
245,arts and crafts supply,,,,,eraser,,,0.45199443413729135
246,arts and crafts supply,,,,,fountain pen,,,0.3408239700374532
247,arts and crafts supply,,,,,glue,,,0.7670841063698205
248,arts and crafts supply,,,,,ink,,,0.5460662525879918
249,arts and crafts supply,,,,,knitting needle,,,0.481015662078785
250,arts and crafts supply,,,,,loom,,,0.2528735632183908
251,arts and crafts supply,,,,,marble,,,0.19102990033222583
252,arts and crafts supply,,,,,marker,,,0.7040816326530611
253,arts and crafts supply,,,,,mold,,,0.3411410018552875
254,arts and crafts supply,,,,,needle,,,0.44684385382059794
255,arts and crafts supply,,,,,paint,,,0.8600583090379009
256,arts and crafts supply,,,,,paintbrush,,,0.7923344947735192
257,arts and crafts supply,,,,,palette,,,0.49741824440619625
258,arts and crafts supply,,,,,paper,,,0.7917850684577629
259,arts and crafts supply,,,,,patch,,,0.2850185528756958
260,arts and crafts supply,,,,,pen,,,0.5713529856386999
261,arts and crafts supply,,,,,pencil,,,0.7252923641366659
262,arts and crafts supply,,,,,pencil sharpener,,,0.40857306778132924
263,arts and crafts supply,,,,,pin,,,0.38989084005695307
264,arts and crafts supply,,,,,pincushion,,,0.2974789915966386
265,arts and crafts supply,,,,,pom-pom,,,0.31448241947381356
266,arts and crafts supply,,,,,ribbon,,,0.6071428571428571
267,arts and crafts supply,,,,,scissors,,,0.7751192430995387
268,arts and crafts supply,,,,,sequin,,,0.4547122219674386
269,arts and crafts supply,,,,,sewing kit,,,0.4805636540330417
270,arts and crafts supply,,,,,sewing machine,,,0.4879569410181655
271,arts and crafts supply,,,,,stamp,,,0.40655812886952525
272,arts and crafts supply,,,,,tape,,,0.5561224489795918
273,arts and crafts supply,,,,,thimble,,,0.24930426716141005
274,arts and crafts supply,,,,,thread,,,0.5296846011131725
275,arts and crafts supply,,,,,wire,,,0.3542106497771522
276,arts and crafts supply,,,,,wire cutters,,,0.287884267631103
277,arts and crafts supply,,,,,wrapping paper,,,0.35884353741496594
278,arts and crafts supply,,,,,yarn,,,0.6500899210258817
279,bird,,,,,bird,,,0.8084537185660781
280,bird,,,,,cardinal,,,0.5042016806722689
281,bird,,,,,chick,,,0.4712643678160919
282,bird,,,,,cockatoo,,,0.2977624784853701
283,bird,,,Krähe,crow,crow,,0.8583333333333334,0.707034632034632
284,bird,,,Ente,duck,duck,,0.8166666666666668,0.7021831988609397
285,bird,,,,,duckling,,,0.4182091441227654
286,bird,,,Adler,eagle,eagle,,0.8833333333333333,0.7895847994370161
287,bird,,,Flamingo,flamingo,flamingo,,0.6416666666666667,0.3910773611770289
288,bird,,,Gans,goose ,goose,,0.775,0.5259961127308066
289,bird,,,Falke,hawk,hawk,,0.7583333333333333,0.6215472235405791
290,bird,,,Kolibri,hummingbird,hummingbird,,0.6666666666666666,0.6434178066831128
291,bird,,,,,ostrich,,,0.35534213685474186
292,bird,,,Eule,owl,owl,,0.7833333333333333,0.579700061842919
293,bird,,,Papagei ,parrot,parrot,,0.7666666666666666,0.679202017885806
294,bird,,,Pfau,peacock,peacock,,0.6666666666666666,0.44134453781512606
295,bird,,,Pelikan,pelican,pelican,,0.6666666666666666,0.3181818181818182
296,bird,,,,,penguin,,,0.2952380952380952
297,bird,,,Fasan,pheasant,pheasant,,0.6583333333333333,0.28743545611015486
298,bird,,,,,pigeon,,,0.7536134453781512
299,bird,,,,,puffin,,,0.13738295318127244
300,bird,,,,,rooster,,,0.578397212543554
301,bird,,,Möwe,seagull,seagull,,0.9083333333333333,0.5850174216027876
302,bird,,,Schwan,swan,swan,,0.775,0.45515574650912993
303,bird,,,,,toucan,,,0.23920265780730893
304,bird,,,Pute,turkey,turkey,,0.6333333333333333,0.5160018552875695
305,bird,,,Geier,vulture,vulture,,0.7368421052631579,0.3513526340768866
306,bird,,,Albatros,albatross,,,0.5686274509803921,
307,bird,,,Schwarzstorch,black stork,,,0.5740740740740741,
308,bird,,,Amsel,blackbird,,,0.9666666666666667,
309,bird,,,Blaumeise,bluetit,,,0.9473684210526315,
310,bird,,,Wellensittich,budgerigar,,,0.8583333333333334,
311,bird,,,Bussard,buzzard,,,0.8333333333333334,
312,bird,,,Kanarienvogel,canary,,,0.8250000000000001,
313,bird,,,Buchfink,chaffinch,,,0.7666666666666666,
314,bird,,,Huhn,chicken,,,0.7583333333333333,
315,bird,,,Nymphensittich,cockateel,,,0.5789473684210527,
316,bird,,,Mäusebussard,common buzzard,,,0.7083333333333334,
317,bird,,,Kranich,crane,,,0.6749999999999999,
318,bird,,,Kuckuck,cuckoo,,,0.8250000000000001,
319,bird,,,Taube,dove,,,0.8916666666666666,
320,bird,,,Uhu,eagle owl,,,0.6749999999999999,
321,bird,,,Fink,finch,,,0.8833333333333333,
322,bird,,,Steinadler,golden eagle,,,0.7583333333333333,
323,bird,,,Goldkehlchen,goldenthroat,,,0.7543859649122807,
324,bird,,,Stieglitz,goldfinch,,,0.7314814814814815,
325,bird,,,Habicht,goshawk,,,0.7583333333333333,
326,bird,,,Graugans,graylag goose,,,0.6166666666666667,
327,bird,,,Haubentaucher,great crested grebe,,,0.6749999999999999,
328,bird,,,Kohlmeise,great tit,,,0.9500000000000001,
329,bird,,,Grünspecht,green woodpecker,,,0.7333333333333334,
330,bird,,,Grünfink,greenfinch,,,0.7083333333333334,
331,bird,,,Reiher,heron,,,0.6583333333333333,
332,bird,,,Nebelkrähe,hooded crow,,,0.6666666666666666,
333,bird,,,Eichelhäher,jay,,,0.7719298245614036,
334,bird,,,Turmfalke,kestrel,,,0.6833333333333332,
335,bird,,,Eisvogel,kingfisher,,,0.6403508771929824,
336,bird,,,Elster,magpie,,,0.9473684210526315,
337,bird,,,Flugente,muscovy duck,,,0.5666666666666667,
338,bird,,,Nachtigall,nightingale,,,0.9249999999999999,
339,bird,,,Sittich,parakeet,,,0.7416666666666667,
340,bird,,,Rabe,raven,,,0.7916666666666666,
341,bird,,,Rotkehlchen,robin,,,0.9083333333333333,
342,bird,,,Käuzchen,screech owl,,,0.625,
343,bird,,,Seeadler,sea eagle,,,0.7083333333333334,
344,bird,,,Zeisig,siskin,,,0.7407407407407408,
345,bird,,,Spatz,sparrow,,,0.9583333333333334,
346,bird,,,Sperber,sparrowhawk,,,0.7222222222222223,
347,bird,,,Buntspecht,spotted woodpecker,,,0.9,
348,bird,,,Storch,stork,,,0.7916666666666666,
349,bird,,,Mauersegler,swift,,,0.7333333333333334,
350,bird,,,Drossel,thrush,,,0.8611111111111112,
351,bird,,,Meise,tit,,,0.975,
352,bird,,,Bachstelze,wagtail,,,0.7166666666666667,
353,bird,,,Weißstorch,white stork,,,0.7280701754385964,
354,bird,,,Wildente,wild duck,,,0.6578947368421052,
355,bird,,,Auerhahn,wood grouse,,,0.6,
356,bird,,,Specht,woodpecker,,,0.9416666666666668,
357,bird,,,Zaunkönig,wren,,,0.7807017543859649,
358,body part,Tobillo,ankle,,,ankle,0.7266666666666667,,0.4593066142119497
359,body part,Brazo,arm,,,arm,1.0,,0.8504201680672269
360,body part,Barba,beard,,,beard,0.42,,0.09835259404966801
361,body part,Hueso,bone,,,bone,0.66,,0.306359753203607
362,body part,Pantorrilla,calf,,,calf,0.6133333333333333,,0.42691671263099834
363,body part,,,,,chest,,,0.5649459783913565
364,body part,Barbilla,chin,,,chin,0.6733333333333333,,0.45643738977072307
365,body part,Oreja,ear,,,ear,0.9266666666666666,,0.6779263429509735
366,body part,Codo,elbow,,,elbow,0.7133333333333334,,0.5238095238095238
367,body part,Ojo,eye,,,eye,0.94,,0.6944444444444444
368,body part,Cara,face,,,face,0.9500000000000001,,0.6210281580986824
369,body part,Dedo,finger,,,finger,0.8933333333333334,,0.7333180463196516
370,body part,Pie,foot,,,foot,0.9333333333333332,,0.7186588921282799
371,body part,Cabello,hair,,,hair,0.7333333333333334,,0.3017656500802568
372,body part,Mano,hand,,,hand,0.9866666666666667,,0.8519793459552496
373,body part,Cadera,hip,,,hip,0.7933333333333333,,0.46948267679164674
374,body part,Rodilla,knee,,,knee,0.82,,0.6060714285714285
375,body part,Pierna,leg,,,leg,0.9466666666666667,,0.8426020408163265
376,body part,Boca,mouth,,,mouth,0.9733333333333333,,0.6366408632418484
377,body part,,,,,mustache,,,0.09059233449477348
378,body part,,,,,navel,,,0.24593128390596744
379,body part,Cuello,neck,,,neck,0.8133333333333334,,0.6359371334740792
380,body part,Nariz,nose,,,nose,0.9133333333333334,,0.7171333649738966
381,body part,Hombro,shoulder,,,shoulder,0.7866666666666666,,0.5984048791930565
382,body part,Esqueleto,skeleton,,,skeleton,0.5,,0.13775510204081623
383,body part,Piel,skin,,,skin,0.5866666666666666,,0.3475071041074657
384,body part,,,,,skull,,,0.3289036544850498
385,body part,Estómago,stomach,,,stomach,0.64,,0.4444444444444445
386,body part,,,,,thumb,,,0.5153675928202607
387,body part,,,,,toe,,,0.5732368896925859
388,body part,Lengua,tongue,,,tongue,0.7400000000000001,,0.39771030363364857
389,body part,Diente,tooth,,,tooth,0.7599999999999999,,0.3066202090592335
390,body part,,,,,torso,,,0.29012686155543294
391,body part,muñeca/s,wrist,,,wrist,0.7733333333333333,,0.4824892920131015
392,body part,Esternocleidomastoideo,a neck muscle,,,,0.24,,
393,body part,Abdomen,abdomen,,,,0.6533333333333333,,
394,body part,Ano,anus,,,,0.3933333333333333,,
395,body part,Axila,armpit,,,,0.54,,
396,body part,arteria,artery,,,,0.3133333333333333,,
397,body part,Espalda,back,,,,0.9133333333333334,,
398,body part,Tripa,belly,,,,0.7066666666666667,,
399,body part,Ombligo,bellybutton,,,,0.6133333333333333,,
400,body part,Biceps,biceps,,,,0.5800000000000001,,
401,body part,Vejiga,bladder,,,,0.45333333333333337,,
402,body part,Culo,bottom,,,,0.84,,
403,body part,Trasero,bottom,,,,0.7666666666666666,,
404,body part,Cerebro,brain,,,,0.5466666666666667,,
405,body part,Pecho,breast,,,,0.8533333333333334,,
406,body part,Pechos,breasts,,,,0.8266666666666667,,
407,body part,Gemelo,calf muscle,,,,0.5133333333333333,,
408,body part,Cerebelo,cerebellum,,,,0.24,,
409,body part,Mejilla,cheek,,,,0.7533333333333333,,
410,body part,Moflete,chubby cheek,,,,0.6933333333333334,,
411,body part,Clavícula,collarbone,,,,0.5800000000000001,,
412,body part,Colon,colon,,,,0.24666666666666667,,
413,body part,Oído,ear,,,,0.7466666666666667,,
414,body part,Extremidades,extremities,,,,0.6266666666666666,,
415,body part,Ceja,eyebrow,,,,0.5333333333333333,,
416,body part,Pestaña,eyelash,,,,0.48666666666666664,,
417,body part,Párpado,eyelid,,,,0.5266666666666667,,
418,body part,Femur,femur,,,,0.3933333333333333,,
419,body part,Peroné,fibula,,,,0.39999999999999997,,
420,body part,Cubito,fibula,,,,0.21999999999999997,,
421,body part,Antebrazo,forearm,,,,0.52,,
422,body part,Frente,forehead,,,,0.7599999999999999,,
423,body part,Glúteo,gluteus,,,,0.54,,
424,body part,Ingle,groin,,,,0.5,,
425,body part,Pelo,hair,,,,0.7266666666666667,,
